id,nome,generos,source
52196,Date A Live V,"Action, Fantasy, Romance, Sci-Fi",Light novel
10779,Eroge! H mo Game mo Kaihatsu Zanmai,Hentai,Visual novel
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Action, Fantasy",Visual novel
49818,Guimi Zhi Zhu: Xiaochou Pian (Lord of Mysteries),"Action, Fantasy, Mystery, Suspense",Light novel
11617,High School DxD,"Action, Comedy, Romance, Supernatural, Ecchi",Light novel
52367,Isekai Shikkaku (No Longer Allowed in Another World),"Adventure, Comedy, Fantasy",Manhwa
8525,Kami nomi zo Shiru Sekai (The World God Only Knows),"Comedy, Romance, Supernatural",Manga
59192,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,"Action, Supernatural",Manga
59361,Kono Kaisha ni Suki na Hito ga Imasu (I Have a Crush at Work),"Comedy, Romance",Manga
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,"Adventure, Comedy, Fantasy",Light novel
59833,Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,"Adventure, Comedy, Fantasy",Light novel
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"Comedy, Fantasy",Light novel
40879,Love Live! Nijigasaki Gakuen School Idol Doukoukai,Slice of Life,Other
15051,Love Live! School Idol Project,Slice of Life,Other
19111,Love Live! School Idol Project 2nd Season,"Award Winning, Slice of Life",Other
32526,Love Live! Sunshine!!,Slice of Life,Other
34973,Love Live! Sunshine!! 2nd Season (Love Live! Sunshine!! Season 2),Slice of Life,Other
37027,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Slice of Life,Original
41169,Love Live! Superstar!!,Slice of Life,Other
24997,Love Live! The School Idol Movie,"Award Winning, Slice of Life",Original
18897,Nisekoi (Nisekoi: False Love),"Comedy, Romance",Manga
33674,"No Game No Life: Zero (No Game, No Life: Zero)","Drama, Fantasy, Romance",Light novel
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,"Adventure, Fantasy",Manga
