id,nome,score,generos,tipo
1982,Koori no Mamono no Monogatari,8.17,"Boys Love, Fantasy, Supernatural",Manga
10865,Touhou Shinigami: Meteor Methuselah Gaiden,8.16,"Action, Drama, Fantasy",Manga
30315,Last Game,8.16,"Comedy, Romance",Manga
35171,"Can't See Can't Hear But Love (See, Hear, Love)",8.16,"Drama, Romance",Manhwa
102703,Doukyuusei: Gold Ring & Silver Ring,8.16,Boys Love,Manga
149090,Trapped,8.16,"Romance, Suspense",Manhwa
45947,Nukozuke!,8.15,"Comedy, Slice of Life",Manga
770,Gunnm: Last Order (Battle Angel Alita: Last Order),8.15,"Action, Drama, Sci-Fi",Manga
929,Fushigi Yuugi: Genbu Kaiden (Fushigi Yugi: Genbu Kaiden),8.15,"Adventure, Drama, Fantasy, Romance",Manga
8652,Zankoku na Kami ga Shihai suru,8.15,"Award Winning, Boys Love, Drama",Manga
10443,Bakuon Rettou,8.15,"Action, Drama",Manga
147863,Nano Machine,8.15,"Action, Adventure, Fantasy, Sci-Fi",Manhwa
148245,Killer Crush,8.15,"Boys Love, Comedy",Manhwa
114787,Shin High School DxD,8.15,"Comedy, Fantasy, Romance, Supernatural, Ecchi",Light Novel
117840,Ase to Sekken (Sweat and Soap),8.15,"Comedy, Romance",Manga
120250,Ponkotsu Ponko,8.15,"Comedy, Slice of Life",Manga
123435,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizokuin Gaiden,8.15,Fantasy,Light Novel
111229,Mystery to Iu nakare (Don't Call It Mystery),8.14,"Award Winning, Mystery",Manga
21467,Hoshi Mamoru Inu (Stargazing Dog),8.14,Slice of Life,Manga
21784,Dai Densetsu no Yuusha no Densetsu,8.14,"Action, Adventure, Fantasy",Light Novel
33297,Ao Haru Ride,8.14,Romance,Light Novel
44319,Mahou Shoujo Madoka★Magica: The Different Story,8.14,"Drama, Horror",Manga
85773,Fate/stay night: Garden of Avalon,8.14,"Fantasy, Supernatural",Light Novel
162043,The Crown Princess Scandal,8.14,"Fantasy, Romance",Manhwa
96573,Something About Us,8.14,Romance,Manhwa
1110,Shiawase Kissa 3-choume (Happy Cafe),8.14,"Comedy, Romance, Slice of Life",Manga
1297,Iryuu: Team Medical Dragon,8.14,"Award Winning, Drama",Manga
1695,Adolf ni Tsugu (Message to Adolf),8.14,"Award Winning, Drama",Manga
11850,Keishichou Tokuhanka 007,8.14,Supernatural,Manga
112245,Navillera: Like a Butterfly,8.13,Drama,Manhwa
127332,Heesu in Class 2,8.13,Boys Love,Manhwa
130832,Your Throne,8.13,"Drama, Fantasy, Romance",Manhwa
84255,Hidamari ga Kikoeru (I Hear the Sunspot),8.13,"Boys Love, Slice of Life",Manga
163455,Phantom Busters,8.13,Supernatural,Manga
147454,Roxana,8.12,"Drama, Fantasy, Romance",Manhwa
153158,Telework Yotabanashi (Home Office Romance),8.12,Romance,Manga
163116,The Stellar Swordmaster,8.12,"Action, Fantasy",Manhwa
635,God Child (Godchild),8.12,"Boys Love, Horror, Mystery, Supernatural",Manga
1076,Vagrant Soldier Ares,8.12,"Action, Adventure, Drama",Manhwa
7010,NG Life,8.12,"Comedy, Drama, Romance, Supernatural",Manga
166817,Star Ginseng Store,8.12,"Comedy, Drama, Romance",Manhwa
99969,Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,8.12,Slice of Life,Manga
3403,Rosario to Vampire: Season II (Rosario+Vampire: Season II),8.11,"Action, Comedy, Fantasy, Romance, Supernatural, Ecchi",Manga
147582,Our Secret Alliance,8.11,Romance,Manhwa
26201,Hikaru ga Chikyuu ni Ita Koro...... (When Hikaru was on the earth),8.11,"Mystery, Romance, Supernatural",Light Novel
107948,Hitori Koukan Nikki (My Solo Exchange Diary),8.11,Slice of Life,Manga
172605,Xiao Mogu (Little Mushroom),8.11,"Boys Love, Sci-Fi",Novel
80281,Girls & Panzer: Ribbon no Musha,8.11,Comedy,Manga
154679,Hotaru no Yomeiri (Firefly Wedding),8.10,Romance,Manga
157571,Muse on Fame,8.10,Drama,Manhwa
159130,Nick to Lever,8.10,Comedy,Manga
113671,Winter Woods,8.10,"Fantasy, Horror, Mystery, Romance",Manhwa
134612,Mystical,8.10,"Drama, Romance, Supernatural",Manhwa
1033,Let Dai,8.10,"Boys Love, Drama",Manhwa
1101,Akumetsu,8.10,"Action, Drama, Suspense",Manga
9296,Seven Days (Seven Days: Monday–Sunday),8.10,"Boys Love, Slice of Life",Manga
19709,Gabai: Saga no Gabai Baachan,8.10,"Comedy, Slice of Life",Manga
21054,Touhou Ibara Kasen: Wild and Horned Hermit.,8.10,"Fantasy, Slice of Life",Manga
107417,Cheese in the Trap Season 2,8.10,"Comedy, Mystery, Romance, Slice of Life",Manhwa
112090,Hidamari ga Kikoeru: Koufukuron,8.09,"Boys Love, Slice of Life",Manga
120318,Witch of Mine,8.09,"Drama, Fantasy, Romance",Manhwa
76965,Higurashi no Naku Koro ni - Dai 1-wa: Onikakushi-hen,8.09,"Drama, Horror, Mystery",Light Novel
147276,Surviving Romance,8.09,"Horror, Suspense",Manhwa
27029,Ouran Koukou Host Club University Special,8.09,"Comedy, Drama, Romance",Manga
167099,Kesa mo Yuraretemasu ​ (They Are Still Being Shaken This Morning),8.09,"Comedy, Romance",Manga
928,Pocket Monsters Special (Pokémon Adventures),8.09,"Action, Adventure",Manga
3574,Tobaku Datenroku Kaiji,8.09,Drama,Manga
7749,Oresama Teacher,8.09,Comedy,Manga
591,Koukou Debut (High School Debut),8.08,"Comedy, Romance",Manga
59519,Be Blues! Ao ni Nare,8.08,"Award Winning, Sports",Manga
90810,Nogi Wakaba wa Yuusha de Aru,8.08,Fantasy,Light Novel
108187,Karakai Jouzu no (Moto) Takagi-san,8.08,Slice of Life,Manga
119931,One Room Angel,8.08,"Boys Love, Drama, Supernatural",Manga
124094,Jibaku Shounen Hanako-kun 0 (Toilet-Bound Hanako-kun 0),8.08,Supernatural,Manga
163882,Kimi to Uchuu wo Aruku Tame ni (Spacewalking with You),8.08,"Award Winning, Slice of Life",Manga
44523,Touhou Suzunaan: Forbidden Scrollery. (Forbidden Scrollery),8.08,Fantasy,Manga
27967,Pandora Hearts: Caucus Race,8.07,"Action, Fantasy",Light Novel
95211,Orange,8.07,"Drama, Romance, Sci-Fi",Light Novel
633,Beauty Pop,8.07,"Comedy, Romance",Manga
159718,Merry Marbling,8.07,Boys Love,Manhwa
114793,Rojica to Rakkasei,8.07,"Adventure, Fantasy, Slice of Life",Manga
99821,Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,8.06,Fantasy,Light Novel
139104,"Hikaeme ni Ittemo, Kore wa Ai (Love, That's an Understatement)",8.06,Romance,Manga
149266,Secret Lady,8.06,"Fantasy, Romance",Manhwa
153322,The Broken Ring: This Marriage Will Fail Anyway,8.06,"Drama, Fantasy, Romance",Manhwa
163232,Tower Dungeon,8.06,"Action, Fantasy",Manga
3102,Girl Friends,8.06,Girls Love,Manga
9114,D.Gray-man: Reverse,8.06,"Action, Adventure, Fantasy",Light Novel
1211,Ore to Akuma no Blues,8.05,"Drama, Horror",Manga
15104,Kingdom Hearts: 358/2 Days (Kingdom Hearts 358/2 Days),8.05,Fantasy,Manga
128594,One Piece: Episode A (One Piece: Ace's Story),8.05,"Action, Adventure, Fantasy",Manga
57035,"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",8.05,"Action, Drama, Fantasy",Light Novel
157888,Revenge of the Baskerville Bloodhound,8.05,"Action, Fantasy",Manhwa
18251,The Legend of the Sun Knight,8.05,"Fantasy, Supernatural",Light Novel
19980,Koi dano Ai dano,8.05,"Comedy, Romance",Manga
42569,Medaka Box Gaiden: Good Loser Kumagawa,8.05,None,Light Novel
50027,About Death,8.05,"Slice of Life, Supernatural",Manhwa
5775,Yamamoto Zenjirou to Moushimasu,8.04,"Drama, Romance, Supernatural",Manga
8742,Ashita no Ousama,8.04,None,Manga
10179,Chichi no Koyomi (A Journal of My Father),8.04,Slice of Life,Manga
151815,Konjiki no Gash!! 2,8.04,"Action, Adventure, Comedy, Supernatural",Manga
154454,Mother's Contract Marriage,8.04,Fantasy,Manhwa
77463,Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,8.03,"Drama, Horror, Mystery",Light Novel
104271,Chi no Wadachi (Blood on the Tracks),8.03,"Drama, Suspense",Manga
187875,The Dawn to Come,8.03,Romance,Manhwa
18570,Ultra Heaven,8.03,"Avant Garde, Drama, Sci-Fi",Manga
22986,Ran to Haiiro no Sekai (Ran and the Gray World),8.03,"Drama, Fantasy, Romance, Supernatural",Manga
25245,Zoku Hoshi Mamoru Inu,8.03,Slice of Life,Manga
41697,Ghost Hunt: Akumu no Sumu Ie,8.03,"Horror, Mystery, Supernatural",Manga
42579,Kubera,8.03,"Action, Adventure, Comedy, Fantasy, Romance",Manhwa
142170,Mimoza no Kokuhaku (The Mimosa Confessions),8.03,"Drama, Romance",Light Novel
150413,Villains Are Destined to Die,8.03,"Drama, Fantasy, Romance",Novel
159696,Our Youth,8.03,"Boys Love, Drama",Manhwa
160131,Pink Heart Jam: Beat (Pink Heart Jam beat),8.03,Boys Love,Manga
173072,Seasons of Lovesome,8.03,Romance,Manhwa
174559,The Regressed Mercenary Has a Plan,8.03,"Action, Fantasy",Manhwa
1184,Rough,8.03,"Comedy, Drama, Romance, Sports",Manga
10330,Oboreru Knife (Drowning Love),8.03,"Drama, Romance",Manga
11914,Adekan,8.03,Action,Manga
1741,Worst,8.02,"Action, Comedy",Manga
128072,Zense Coupling,8.02,"Romance, Supernatural",Manga
83923,Fate/strange Fake,8.02,"Action, Fantasy, Supernatural",Manga
24339,Ouran Koukou Host Club Short Special,8.02,Comedy,One-shot
43857,Buttobi Itto,8.02,"Comedy, Sports",Manga
147986,The Spark in Your Eyes,8.02,"Drama, Fantasy, Romance",Manhwa
148238,The Male Lead's Little Lion Daughter,8.02,"Drama, Fantasy",Manhwa
158560,The Top Dungeon Farmer,8.02,Fantasy,Manhwa
146207,Usuzumi no Hate (The Color of the End: Mission in the Apocalypse),8.01,"Adventure, Sci-Fi",Manga
156240,Lout of Count's Family,8.01,Fantasy,Novel
122842,"Kakeochi Girl (Run Away with Me, Girl)",8.01,"Drama, Girls Love, Slice of Life",Manga
128995,Restart wa Onaka wo Sukasete (Restart After Growing Hungry),8.01,"Boys Love, Slice of Life",Manga
976,Vampire Juujikai (The Record of a Fallen Vampire),8.01,Supernatural,Manga
4207,Boku no Hatsukoi wo Kimi ni Sasagu (Secret Unrequited Love),8.01,"Award Winning, Romance, Slice of Life",Manga
14633,Seiyuu Ka! (Voice Over!: Seiyu Academy),8.01,"Drama, Romance",Manga
25916,Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,8.01,"Adventure, Drama, Fantasy",Manga
77465,Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,8.01,"Drama, Horror, Mystery",Light Novel
1506,Sunadokei (Sand Chronicles),8.00,"Award Winning, Romance",Manga
17465,Omoide Emanon (Emanon: Memories of Emanon),8.00,Drama,Manga
140921,Positively Yours,8.00,Romance,Manhwa
152907,Museru kurai no Ai wo Ageru (Choking on Love),8.00,Romance,Manga
154405,"Like Mother, Like Daughter",8.00,Suspense,Manhwa
159093,Bocchi the Rock! Gaiden: Hiroi Kikuri no Fukazake Nikki,8.00,Comedy,Manga
135094,King's Maker: Triple Crown,8.00,"Boys Love, Drama, Fantasy",Manhwa
136793,Itou Junji Jisen Kessakushuu (Shiver: Junji Ito Selected Stories),8.00,Horror,Manga
136975,Unmei no Hito ni Deau Hanashi (How I Met My Soulmate),8.00,Romance,Manga
52043,Chichikogusa,8.00,Slice of Life,Manga
102165,Tokidoki,8.00,"Drama, Romance",One-shot
89553,Usemono Yado,7.99,Drama,Manga
89562,Tsubaki-chou Lonely Planet,7.99,"Drama, Romance",Manga
97200,Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Kamen no Akuma ni Soudan wo!,7.99,"Comedy, Fantasy",Light Novel
103942,Ao no Flag (Blue Flag),7.99,Romance,Manga
147389,Log-in Murim,7.99,"Action, Adventure, Fantasy",Manhwa
160302,Kono Koi wo Hoshi ni wa Negawanai,7.99,"Drama, Girls Love",Manga
68883,Colette wa Shinu Koto ni Shita (Colette Decides to Die),7.99,"Fantasy, Romance",Manga
665,MeruPuri: Märchen☆Prince (MeruPuri),7.99,"Comedy, Fantasy, Romance",Manga
11496,Code Geass: Hangyaku no Lelouch,7.99,"Action, Adventure, Drama, Sci-Fi",Light Novel
11643,Kattobi Itto,7.99,"Comedy, Sports",Manga
